"Utility.ID","Utility.Name","Plant.Code","Plant.Name","County.Short","Technology","Energy.Source.1","City","Primary.Purpose..NAICS.Code.","FuelType","GEOID","NAME","County","State","MedianHouseholdIncome","Year","Fuel.Type","Renewable.v.FossilFuel","Nameplate.Capacity","Nameplate.Capacity1"
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combustion Turbine","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combustion Turbine","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","28.8",28.8
6235,"Fayetteville Public Works Commission",1016,"Butler-Warner Generation Plant","Cumberland","Natural Gas Fired Combined Cycle","NG","Fayetteville",22,"Natural Gas",37051,"Cumberland County, North Carolina","Cumberland County","North Carolina",57586,2020,"Natural Gas","Fossil Fuel","73",73
3046,"Duke Energy Progress - (NC)",2706,"Asheville","Buncombe","Natural Gas Fired Combined Cycle","NG","Arden",22,"Natural Gas",37021,"Buncombe County, North Carolina","Buncombe County","North Carolina",73274,2020,"Natural Gas","Fossil Fuel","191.2",191.2
